Red,Green,Blue,Clear,Distance_mm,Timestamp
349,184,177,539,60,2026-01-21 10:40:19.834
352,188,181,551,58,2026-01-21 10:40:19.977
333,180,173,532,57,2026-01-21 10:40:20.120
329,185,179,524,54,2026-01-21 10:40:20.263
323,189,182,525,52,2026-01-21 10:40:20.406
319,196,187,547,48,2026-01-21 10:40:20.549
333,216,206,579,49,2026-01-21 10:40:20.692
332,225,214,592,47,2026-01-21 10:40:20.835
319,219,208,577,50,2026-01-21 10:40:20.978
315,215,203,592,47,2026-01-21 10:40:21.121
333,235,223,601,46,2026-01-21 10:40:21.264
318,224,211,581,48,2026-01-21 10:40:21.407
315,214,200,584,46,2026-01-21 10:40:21.550
343,238,223,625,43,2026-01-21 10:40:21.693
358,241,225,662,42,2026-01-21 10:40:21.836
380,244,225,724,39,2026-01-21 10:40:21.979
431,288,266,809,45,2026-01-21 10:40:22.122
446,319,290,901,47,2026-01-21 10:40:22.265
450,319,287,938,42,2026-01-21 10:40:22.408
484,350,319,971,42,2026-01-21 10:40:22.551
465,346,315,955,42,2026-01-21 10:40:22.694
429,321,291,907,38,2026-01-21 10:40:22.837
458,357,328,939,38,2026-01-21 10:40:22.980
438,342,315,898,31,2026-01-21 10:40:23.123
397,295,273,820,32,2026-01-21 10:40:23.266
440,331,310,838,34,2026-01-21 10:40:23.409
424,309,291,805,35,2026-01-21 10:40:23.552
379,271,253,751,36,2026-01-21 10:40:23.706
408,302,284,772,35,2026-01-21 10:40:23.838
379,259,248,675,41,2026-01-21 10:40:23.981
326,201,194,570,46,2026-01-21 10:40:24.124
325,207,200,542,43,2026-01-21 10:40:24.267
298,183,177,488,40,2026-01-21 10:40:24.410
282,165,161,462,38,2026-01-21 10:40:24.553
313,194,189,494,41,2026-01-21 10:40:24.696
309,194,189,486,36,2026-01-21 10:40:24.839
272,169,165,447,31,2026-01-21 10:40:24.982
296,203,198,470,33,2026-01-21 10:40:25.125
292,204,199,468,28,2026-01-21 10:40:25.268
256,173,168,428,31,2026-01-21 10:40:25.411
233,137,134,461,32,2026-01-21 10:40:25.553
293,192,188,451,37,2026-01-21 10:40:25.697
286,170,166,458,39,2026-01-21 10:40:25.840
309,162,158,513,35,2026-01-21 10:40:25.983
405,231,224,650,39,2026-01-21 10:40:26.126
459,237,228,752,38,2026-01-21 10:40:26.269
466,220,209,787,38,2026-01-21 10:40:26.412
529,271,258,867,35,2026-01-21 10:40:26.555
541,285,268,928,38,2026-01-21 10:40:26.698
504,279,257,943,37,2026-01-21 10:40:26.841
555,334,308,1014,38,2026-01-21 10:40:26.984
579,346,318,1073,42,2026-01-21 10:40:27.127
542,301,275,1009,38,2026-01-21 10:40:27.270
574,327,302,1016,42,2026-01-21 10:40:27.413
534,283,263,914,40,2026-01-21 10:40:27.555
504,242,226,844,37,2026-01-21 10:40:27.699
571,284,268,918,35,2026-01-21 10:40:27.842
596,278,264,936,38,2026-01-21 10:40:27.985
531,226,216,825,40,2026-01-21 10:40:28.128
524,238,229,792,41,2026-01-21 10:40:28.271
452,214,205,695,44,2026-01-21 10:40:28.414
416,202,192,668,43,2026-01-21 10:40:28.556
451,227,215,718,43,2026-01-21 10:40:28.700
505,240,229,794,43,2026-01-21 10:40:28.843
538,235,225,839,44,2026-01-21 10:40:28.986
568,253,243,864,42,2026-01-21 10:40:29.128
542,233,225,810,45,2026-01-21 10:40:29.272
529,218,210,798,45,2026-01-21 10:40:29.415
538,230,221,804,42,2026-01-21 10:40:29.557
555,236,227,831,44,2026-01-21 10:40:29.701
568,231,222,860,44,2026-01-21 10:40:29.844
568,221,211,907,40,2026-01-21 10:40:29.986
624,266,255,947,40,2026-01-21 10:40:30.130
648,270,258,1007,40,2026-01-21 10:40:30.273
587,232,221,920,41,2026-01-21 10:40:30.416
601,265,254,924,39,2026-01-21 10:40:30.558
544,248,237,857,41,2026-01-21 10:40:30.702
470,205,197,750,47,2026-01-21 10:40:30.845
466,220,212,721,45,2026-01-21 10:40:30.987
413,194,187,642,43,2026-01-21 10:40:31.130
386,177,170,612,42,2026-01-21 10:40:31.273
413,201,194,643,44,2026-01-21 10:40:31.417
434,206,198,682,41,2026-01-21 10:40:31.560
433,194,187,685,46,2026-01-21 10:40:31.703
458,213,205,709,47,2026-01-21 10:40:31.846
486,220,212,753,43,2026-01-21 10:40:31.989
532,234,224,845,33,2026-01-21 10:40:32.132
642,310,297,1007,27,2026-01-21 10:40:32.275
702,340,326,1099,24,2026-01-21 10:40:32.418
645,284,272,1026,23,2026-01-21 10:40:32.561
711,356,342,1084,25,2026-01-21 10:40:32.704
679,328,314,1035,25,2026-01-21 10:40:32.847
597,265,253,930,28,2026-01-21 10:40:32.990
630,312,299,945,33,2026-01-21 10:40:33.132
556,264,254,832,30,2026-01-21 10:40:33.275
508,229,219,784,26,2026-01-21 10:40:33.418
