Red,Green,Blue,Clear,Distance_mm,Timestamp
184,325,357,748,53,2026-01-21 10:27:44.264
181,332,367,779,50,2026-01-21 10:27:44.407
196,349,384,800,49,2026-01-21 10:27:44.550
197,347,380,802,49,2026-01-21 10:27:44.693
194,350,384,825,47,2026-01-21 10:27:44.836
210,369,402,849,43,2026-01-21 10:27:44.979
212,378,414,874,46,2026-01-21 10:27:45.122
203,380,421,893,44,2026-01-21 10:27:45.265
218,404,449,931,44,2026-01-21 10:27:45.408
217,407,455,939,47,2026-01-21 10:27:45.551
200,378,423,880,54,2026-01-21 10:27:45.694
200,365,407,834,54,2026-01-21 10:27:45.837
192,348,389,796,52,2026-01-21 10:27:45.980
187,347,388,803,54,2026-01-21 10:27:46.123
197,360,387,825,50,2026-01-21 10:27:46.266
205,369,408,851,49,2026-01-21 10:27:46.409
219,394,431,927,44,2026-01-21 10:27:46.552
224,415,456,994,46,2026-01-21 10:27:46.695
244,442,487,1030,50,2026-01-21 10:27:46.838
230,417,462,975,47,2026-01-21 10:27:46.981
225,420,467,994,46,2026-01-21 10:27:47.124
245,443,491,1024,46,2026-01-21 10:27:47.268
237,434,480,1006,46,2026-01-21 10:27:47.410
221,415,461,975,47,2026-01-21 10:27:47.553
239,435,482,998,45,2026-01-21 10:27:47.696
235,442,491,1023,44,2026-01-21 10:27:47.839
226,447,500,1062,40,2026-01-21 10:27:47.982
254,485,538,1122,45,2026-01-21 10:27:48.126
266,516,572,1211,38,2026-01-21 10:27:48.268
273,545,602,1321,37,2026-01-21 10:27:48.411
326,622,684,1452,31,2026-01-21 10:27:48.554
338,657,725,1534,32,2026-01-21 10:27:48.697
320,606,661,1461,42,2026-01-21 10:27:48.841
362,594,630,1391,43,2026-01-21 10:27:48.983
358,535,559,1256,42,2026-01-21 10:27:49.126
334,510,536,1219,42,2026-01-21 10:27:49.269
352,547,577,1278,45,2026-01-21 10:27:49.413
330,539,575,1262,43,2026-01-21 10:27:49.556
287,502,545,1192,41,2026-01-21 10:27:49.699
298,518,563,1203,43,2026-01-21 10:27:49.842
298,530,578,1235,39,2026-01-21 10:27:49.985
284,518,567,1230,40,2026-01-21 10:27:50.127
301,528,573,1225,38,2026-01-21 10:27:50.270
310,531,569,1237,39,2026-01-21 10:27:50.413
296,520,558,1235,42,2026-01-21 10:27:50.557
310,537,576,1247,40,2026-01-21 10:27:50.700
306,537,575,1253,42,2026-01-21 10:27:50.842
279,505,544,1203,38,2026-01-21 10:27:50.985
251,466,504,1184,39,2026-01-21 10:27:51.128
257,460,499,1074,40,2026-01-21 10:27:51.271
243,457,502,1085,46,2026-01-21 10:27:51.414
235,466,516,1132,43,2026-01-21 10:27:51.557
255,482,533,1121,39,2026-01-21 10:27:51.700
254,493,545,1165,38,2026-01-21 10:27:51.844
248,494,544,1213,37,2026-01-21 10:27:51.986
291,541,593,1263,34,2026-01-21 10:27:52.129
277,543,602,1285,39,2026-01-21 10:27:52.272
251,522,582,1277,43,2026-01-21 10:27:52.415
279,530,580,1254,42,2026-01-21 10:27:52.558
257,479,520,1142,45,2026-01-21 10:27:52.701
231,439,477,1058,43,2026-01-21 10:27:52.844
244,451,491,1059,42,2026-01-21 10:27:52.988
229,431,470,1010,42,2026-01-21 10:27:53.131
207,396,434,944,41,2026-01-21 10:27:53.273
221,402,437,928,41,2026-01-21 10:27:53.416
214,378,406,875,42,2026-01-21 10:27:53.559
206,377,408,896,41,2026-01-21 10:27:53.702
226,406,439,944,44,2026-01-21 10:27:53.845
231,422,459,989,47,2026-01-21 10:27:53.988
231,437,479,1041,48,2026-01-21 10:27:54.131
251,470,516,1102,46,2026-01-21 10:27:54.274
257,483,532,1133,50,2026-01-21 10:27:54.417
248,455,498,1073,50,2026-01-21 10:27:54.560
263,458,498,1062,55,2026-01-21 10:27:54.703
290,450,480,1024,52,2026-01-21 10:27:54.847
300,418,439,948,58,2026-01-21 10:27:54.989
311,413,430,926,61,2026-01-21 10:27:55.132
299,397,413,885,61,2026-01-21 10:27:55.275
279,391,412,884,59,2026-01-21 10:27:55.418
261,390,416,898,54,2026-01-21 10:27:55.561
263,403,433,913,54,2026-01-21 10:27:55.704
249,402,435,922,49,2026-01-21 10:27:55.847
239,408,445,956,43,2026-01-21 10:27:55.990
259,434,470,995,48,2026-01-21 10:27:56.133
266,434,461,1012,46,2026-01-21 10:27:56.276
258,419,439,997,46,2026-01-21 10:27:56.419
275,444,466,1029,46,2026-01-21 10:27:56.562
260,439,466,1027,49,2026-01-21 10:27:56.705
